Tipo_Solicitud_enc,Prioridad_enc,Aseguradora_enc,Producto_enc,Verificacion_de_dia_enc,Nro_atenciones,CRUCE_ANS_num,hora_decimal,mes_solicitud,semana_anio,dia_semana_num,es_fin_semana,es_inicio_mes,es_fin_mes,es_despues_5pm,target,ANS_FORMULA
30,0,12,11,3,1.0,2,23.333333333333332,1,5,1,0,0,1,1,0,Dentro ANS
5,2,6,10,3,2.0,1,23.333333333333332,1,5,1,0,0,1,1,0,Dentro ANS
22,2,6,5,3,1.0,3,23.233333333333334,1,5,1,0,0,1,1,0,Dentro ANS
5,4,11,10,3,3.0,1,23.016666666666666,1,5,1,0,0,1,1,1,Fuera ANS
32,2,26,11,3,1.0,10,22.65,1,5,1,0,0,1,1,0,Dentro ANS
32,2,15,10,3,2.0,10,22.116666666666667,1,5,1,0,0,1,1,0,Dentro ANS
22,2,26,10,3,1.0,1,21.966666666666665,1,5,1,0,0,1,1,1,Fuera ANS
30,4,12,10,3,1.0,2,21.783333333333335,1,5,1,0,0,1,1,0,Dentro ANS
19,4,25,6,3,4.0,5,21.7,1,5,1,0,0,1,1,0,Dentro ANS
30,4,12,10,3,3.0,2,21.666666666666668,1,5,1,0,0,1,1,0,Dentro ANS
5,4,11,10,3,2.0,1,21.383333333333333,1,5,1,0,0,1,1,0,Dentro ANS
19,4,26,13,3,2.0,1,20.916666666666668,1,5,1,0,0,1,1,0,Dentro ANS
22,2,19,10,3,1.0,1,20.866666666666667,1,5,1,0,0,1,1,1,Fuera ANS
5,0,19,11,3,1.0,1,20.75,1,5,1,0,0,1,1,1,Fuera ANS
22,0,26,13,3,3.0,1,20.15,1,5,1,0,0,1,1,0,Dentro ANS
12,0,26,13,3,1.0,1,20.15,1,5,1,0,0,1,1,0,Dentro ANS
5,2,19,10,3,1.0,1,20.133333333333333,1,5,1,0,0,1,1,0,Dentro ANS
5,2,19,11,3,1.0,1,20.133333333333333,1,5,1,0,0,1,1,0,Dentro ANS
5,2,19,13,3,1.0,1,20.133333333333333,1,5,1,0,0,1,1,0,Dentro ANS
22,2,25,6,3,1.0,4,20.1,1,5,1,0,0,1,1,0,Dentro ANS
30,2,26,13,3,1.0,2,19.85,1,5,1,0,0,1,1,0,Dentro ANS
30,2,26,13,3,1.0,2,19.733333333333334,1,5,1,0,0,1,1,0,Dentro ANS
12,6,19,13,3,1.0,1,19.733333333333334,1,5,1,0,0,1,1,1,Fuera ANS
12,6,6,13,3,1.0,1,19.7,1,5,1,0,0,1,1,1,Fuera ANS
5,2,19,10,3,3.0,1,19.683333333333334,1,5,1,0,0,1,1,1,Fuera ANS
12,6,19,13,3,1.0,1,19.683333333333334,1,5,1,0,0,1,1,1,Fuera ANS
22,2,25,6,3,1.0,2,19.383333333333333,1,5,1,0,0,1,1,0,Dentro ANS
14,4,26,7,3,1.0,3,19.266666666666666,1,5,1,0,0,1,1,0,Dentro ANS
10,4,25,6,3,1.0,0,19.216666666666665,1,5,1,0,0,1,1,0,Dentro ANS
14,0,25,9,3,2.0,3,19.15,1,5,1,0,0,1,1,0,Dentro ANS
12,2,6,10,3,2.0,1,19.083333333333332,1,5,1,0,0,1,1,0,Dentro ANS
5,4,12,10,3,2.0,1,19.083333333333332,1,5,1,0,0,1,1,0,Dentro ANS
22,2,19,6,3,2.0,2,19.033333333333335,1,5,1,0,0,1,1,0,Dentro ANS
5,2,19,11,3,1.0,1,18.9,1,5,1,0,0,1,1,1,Fuera ANS
14,6,19,13,3,1.0,3,18.666666666666668,1,5,1,0,0,1,1,0,Dentro ANS
14,2,7,5,3,1.0,3,18.616666666666667,1,5,1,0,0,1,1,0,Dentro ANS
4,0,6,5,3,1.0,3,18.583333333333332,1,5,1,0,0,1,1,0,Dentro ANS
22,4,26,9,3,1.0,4,18.55,1,5,1,0,0,1,1,0,Dentro ANS
5,6,19,10,3,2.0,1,18.516666666666666,1,5,1,0,0,1,1,0,Dentro ANS
5,4,15,11,3,2.0,1,18.383333333333333,1,5,1,0,0,1,1,0,Dentro ANS
22,2,26,13,3,1.0,1,18.283333333333335,1,5,1,0,0,1,1,1,Fuera ANS
5,4,15,11,3,2.0,1,18.25,1,5,1,0,0,1,1,0,Dentro ANS
32,4,25,6,3,2.0,0,18.116666666666667,1,5,1,0,0,1,1,1,Fuera ANS
8,4,6,5,3,1.0,0,18.1,1,5,1,0,0,1,1,0,Dentro ANS
22,2,25,6,3,2.0,4,18.05,1,5,1,0,0,1,1,0,Dentro ANS
5,0,26,13,3,1.0,1,18.05,1,5,1,0,0,1,1,0,Dentro ANS
5,0,26,3,3,1.0,1,18.05,1,5,1,0,0,1,1,0,Dentro ANS
5,0,26,12,3,1.0,1,18.05,1,5,1,0,0,1,1,0,Dentro ANS
22,2,25,6,3,1.0,4,18.016666666666666,1,5,1,0,0,1,1,0,Dentro ANS
5,2,26,11,3,2.0,1,17.966666666666665,1,5,1,0,0,1,1,0,Dentro ANS
14,2,6,5,3,1.0,3,17.916666666666668,1,5,1,0,0,1,1,0,Dentro ANS
14,2,25,6,3,3.0,3,17.85,1,5,1,0,0,1,1,0,Dentro ANS
5,2,19,10,3,2.0,3,17.733333333333334,1,5,1,0,0,1,1,0,Dentro ANS
5,2,19,13,3,1.0,3,17.733333333333334,1,5,1,0,0,1,1,0,Dentro ANS
14,2,6,5,3,1.0,3,17.65,1,5,1,0,0,1,1,0,Dentro ANS
27,2,19,10,3,1.0,1,17.633333333333333,1,5,1,0,0,1,1,0,Dentro ANS
18,2,19,10,3,1.0,5,17.45,1,5,1,0,0,1,1,0,Dentro ANS
14,2,25,6,3,3.0,2,17.35,1,5,1,0,0,1,1,0,Dentro ANS
3,2,25,6,3,1.0,2,17.316666666666666,1,5,1,0,0,1,1,0,Dentro ANS
22,2,6,5,3,2.0,3,17.3,1,5,1,0,0,1,1,0,Dentro ANS
22,2,10,5,3,1.0,3,17.3,1,5,1,0,0,1,1,0,Dentro ANS
19,2,25,9,3,4.0,5,17.166666666666668,1,5,1,0,0,1,1,0,Dentro ANS
5,2,14,6,2,1.0,2,16.933333333333334,1,5,1,0,0,1,0,0,Dentro ANS
19,2,20,7,2,2.0,5,16.916666666666668,1,5,1,0,0,1,0,0,Dentro ANS
5,4,6,6,2,1.0,2,16.883333333333333,1,5,1,0,0,1,0,0,Dentro ANS
14,4,25,6,2,1.0,3,16.816666666666666,1,5,1,0,0,1,0,0,Dentro ANS
18,2,6,5,2,1.0,3,16.55,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,11,2,2.0,1,16.55,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,11,2,2.0,1,16.45,1,5,1,0,0,1,0,0,Dentro ANS
4,2,10,5,2,5.0,3,16.45,1,5,1,0,0,1,0,0,Dentro ANS
22,2,26,9,2,1.0,4,16.433333333333334,1,5,1,0,0,1,0,0,Dentro ANS
5,2,26,10,2,8.0,3,16.4,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,11,2,2.0,1,16.383333333333333,1,5,1,0,0,1,0,0,Dentro ANS
7,6,19,10,2,2.0,2,16.366666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,6,19,13,2,1.0,3,16.366666666666667,1,5,1,0,0,1,0,0,Dentro ANS
12,0,15,10,2,4.0,1,16.283333333333335,1,5,1,0,0,1,0,0,Dentro ANS
14,2,20,6,2,1.0,3,16.266666666666666,1,5,1,0,0,1,0,0,Dentro ANS
5,4,6,10,2,1.0,1,16.25,1,5,1,0,0,1,0,1,Fuera ANS
5,4,6,11,2,1.0,1,16.25,1,5,1,0,0,1,0,1,Fuera ANS
5,4,6,13,2,1.0,1,16.25,1,5,1,0,0,1,0,1,Fuera ANS
32,2,25,6,2,1.0,0,16.233333333333334,1,5,1,0,0,1,0,1,Fuera ANS
12,2,19,13,2,1.0,1,16.116666666666667,1,5,1,0,0,1,0,1,Fuera ANS
5,6,21,11,2,1.0,1,16.05,1,5,1,0,0,1,0,0,Dentro ANS
5,6,19,10,2,2.0,1,16.0,1,5,1,0,0,1,0,0,Dentro ANS
32,2,24,10,2,4.0,10,15.95,1,5,1,0,0,1,0,0,Dentro ANS
5,6,19,10,2,1.0,1,15.933333333333334,1,5,1,0,0,1,0,1,Fuera ANS
5,6,19,10,2,1.0,1,15.933333333333334,1,5,1,0,0,1,0,1,Fuera ANS
14,2,6,5,2,2.0,3,15.9,1,5,1,0,0,1,0,0,Dentro ANS
14,2,25,6,2,1.0,3,15.9,1,5,1,0,0,1,0,0,Dentro ANS
5,2,25,6,2,1.0,2,15.9,1,5,1,0,0,1,0,0,Dentro ANS
22,2,25,6,2,4.0,4,15.833333333333334,1,5,1,0,0,1,0,0,Dentro ANS
30,2,6,10,2,1.0,2,15.816666666666666,1,5,1,0,0,1,0,0,Dentro ANS
14,4,25,6,2,1.0,3,15.816666666666666,1,5,1,0,0,1,0,0,Dentro ANS
22,2,6,5,2,1.0,3,15.783333333333333,1,5,1,0,0,1,0,0,Dentro ANS
22,2,15,10,2,5.0,1,15.616666666666667,1,5,1,0,0,1,0,1,Fuera ANS
22,2,6,5,2,1.0,3,15.566666666666666,1,5,1,0,0,1,0,0,Dentro ANS
19,0,15,10,2,2.0,1,15.533333333333333,1,5,1,0,0,1,0,1,Fuera ANS
5,0,19,10,2,2.0,1,15.416666666666666,1,5,1,0,0,1,0,1,Fuera ANS
5,2,24,11,2,2.0,1,15.366666666666667,1,5,1,0,0,1,0,1,Fuera ANS
5,4,26,13,2,3.0,1,15.35,1,5,1,0,0,1,0,1,Fuera ANS
3,2,25,6,2,1.0,4,15.333333333333334,1,5,1,0,0,1,0,0,Dentro ANS
5,4,26,13,2,1.0,1,15.3,1,5,1,0,0,1,0,0,Dentro ANS
19,2,12,10,2,2.0,1,15.283333333333333,1,5,1,0,0,1,0,0,Dentro ANS
14,2,26,9,2,1.0,3,15.216666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,11,10,2,3.0,1,15.2,1,5,1,0,0,1,0,1,Fuera ANS
5,4,11,10,2,3.0,1,15.15,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,10,2,2.0,1,15.133333333333333,1,5,1,0,0,1,0,0,Dentro ANS
24,2,6,5,2,1.0,0,15.1,1,5,1,0,0,1,0,0,Dentro ANS
5,2,19,11,2,1.0,1,15.1,1,5,1,0,0,1,0,1,Fuera ANS
5,4,15,10,2,1.0,1,15.016666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,11,2,2.0,1,14.983333333333333,1,5,1,0,0,1,0,0,Dentro ANS
14,0,25,9,2,1.0,3,14.966666666666667,1,5,1,0,0,1,0,0,Dentro ANS
22,6,15,10,2,3.0,1,14.916666666666666,1,5,1,0,0,1,0,0,Dentro ANS
3,0,25,6,2,1.0,4,14.816666666666666,1,5,1,0,0,1,0,0,Dentro ANS
24,2,6,5,2,1.0,0,14.783333333333333,1,5,1,0,0,1,0,1,Fuera ANS
5,2,25,6,2,1.0,2,14.75,1,5,1,0,0,1,0,0,Dentro ANS
5,2,6,10,2,2.0,1,14.716666666666667,1,5,1,0,0,1,0,0,Dentro ANS
22,2,25,6,2,1.0,4,14.7,1,5,1,0,0,1,0,0,Dentro ANS
22,2,25,6,2,2.0,2,14.683333333333334,1,5,1,0,0,1,0,0,Dentro ANS
32,0,26,7,2,1.0,0,14.6,1,5,1,0,0,1,0,1,Fuera ANS
22,2,26,7,2,2.0,4,14.583333333333334,1,5,1,0,0,1,0,0,Dentro ANS
14,2,25,6,2,1.0,3,14.45,1,5,1,0,0,1,0,0,Dentro ANS
5,2,24,10,2,4.0,3,14.416666666666666,1,5,1,0,0,1,0,0,Dentro ANS
22,2,26,7,2,1.0,4,14.416666666666666,1,5,1,0,0,1,0,0,Dentro ANS
14,0,25,6,2,2.0,3,14.183333333333334,1,5,1,0,0,1,0,0,Dentro ANS
14,2,26,13,2,1.0,3,14.183333333333334,1,5,1,0,0,1,0,1,Fuera ANS
22,2,6,5,2,1.0,3,14.166666666666666,1,5,1,0,0,1,0,0,Dentro ANS
5,4,11,10,2,3.0,1,14.15,1,5,1,0,0,1,0,1,Fuera ANS
4,2,6,5,2,1.0,3,14.05,1,5,1,0,0,1,0,0,Dentro ANS
5,2,26,11,2,2.0,3,13.683333333333334,1,5,1,0,0,1,0,0,Dentro ANS
22,6,15,10,2,2.0,1,13.566666666666666,1,5,1,0,0,1,0,1,Fuera ANS
22,2,6,5,2,1.0,3,13.55,1,5,1,0,0,1,0,0,Dentro ANS
22,6,15,10,2,2.0,1,13.516666666666667,1,5,1,0,0,1,0,0,Dentro ANS
33,0,25,6,2,1.0,0,13.483333333333333,1,5,1,0,0,1,0,0,Dentro ANS
22,0,20,6,2,1.0,4,13.416666666666666,1,5,1,0,0,1,0,0,Dentro ANS
22,0,19,9,2,1.0,4,13.416666666666666,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,11,2,2.0,1,13.316666666666666,1,5,1,0,0,1,0,0,Dentro ANS
22,2,14,6,2,1.0,4,13.3,1,5,1,0,0,1,0,0,Dentro ANS
5,2,19,10,2,2.0,3,13.116666666666667,1,5,1,0,0,1,0,0,Dentro ANS
12,0,19,11,2,1.0,1,13.116666666666667,1,5,1,0,0,1,0,0,Dentro ANS
12,0,19,10,2,1.0,3,13.116666666666667,1,5,1,0,0,1,0,1,Fuera ANS
5,2,19,13,2,1.0,3,13.116666666666667,1,5,1,0,0,1,0,0,Dentro ANS
19,2,19,7,2,2.0,5,13.066666666666666,1,5,1,0,0,1,0,0,Dentro ANS
22,2,6,5,2,1.0,3,13.033333333333333,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,11,2,2.0,1,13.016666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,26,10,2,2.0,1,12.933333333333334,1,5,1,0,0,1,0,0,Dentro ANS
5,2,14,10,2,2.0,3,12.9,1,5,1,0,0,1,0,1,Fuera ANS
12,2,11,10,2,1.0,3,12.85,1,5,1,0,0,1,0,1,Fuera ANS
5,2,6,10,2,2.0,1,12.633333333333333,1,5,1,0,0,1,0,1,Fuera ANS
12,4,26,7,2,3.0,0,12.633333333333333,1,5,1,0,0,1,0,0,Dentro ANS
19,4,26,7,2,4.0,5,12.633333333333333,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,10,2,2.0,1,12.616666666666667,1,5,1,0,0,1,0,0,Dentro ANS
18,1,6,5,2,1.0,5,12.55,1,5,1,0,0,1,0,0,Dentro ANS
5,2,26,13,2,1.0,1,12.516666666666667,1,5,1,0,0,1,0,1,Fuera ANS
32,2,15,10,2,1.0,10,12.516666666666667,1,5,1,0,0,1,0,0,Dentro ANS
5,4,15,10,2,2.0,1,12.266666666666667,1,5,1,0,0,1,0,1,Fuera ANS
5,4,19,13,2,1.0,1,12.266666666666667,1,5,1,0,0,1,0,1,Fuera ANS
26,2,19,10,2,2.0,3,12.133333333333333,1,5,1,0,0,1,0,0,Dentro ANS
14,4,14,6,2,1.0,3,12.083333333333334,1,5,1,0,0,1,0,0,Dentro ANS
4,2,6,5,2,1.0,3,12.083333333333334,1,5,1,0,0,1,0,1,Fuera ANS
5,2,25,6,2,1.0,2,12.05,1,5,1,0,0,1,0,1,Fuera ANS
22,2,10,5,2,1.0,3,12.0,1,5,1,0,0,1,0,0,Dentro ANS
32,0,25,11,2,1.0,10,11.916666666666666,1,5,1,0,0,1,0,0,Dentro ANS
14,4,14,6,2,1.0,3,11.916666666666666,1,5,1,0,0,1,0,0,Dentro ANS
14,4,14,6,2,1.0,3,11.9,1,5,1,0,0,1,0,0,Dentro ANS
14,2,25,6,2,1.0,3,11.866666666666667,1,5,1,0,0,1,0,0,Dentro ANS
14,4,14,6,2,5.0,3,11.833333333333334,1,5,1,0,0,1,0,0,Dentro ANS
14,4,14,6,2,6.0,3,11.75,1,5,1,0,0,1,0,0,Dentro ANS
